dataset,model,scenario,region,variable,unit,year,occurrences,duplicate_values
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Agriculture|Heat,GWh,2023,2,"[0.688422669524632, 0.579500424850937]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Agriculture|Liquids|Biomass,GWh,2023,2,"[0.0, 0.114540246428118]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Agriculture|Solar,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Agriculture|Solids|Biomass,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Agriculture|Solids|Coal,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Residential and Commercial|Electricity,GWh,2023,2,"[6516.40608667528, 5574.2074387719]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Residential and Commercial|Gases|Biomass,GWh,2023,2,"[0.0, 11.799563103117]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Residential and Commercial|Gases|Gas,GWh,2023,2,"[12.2522392075645, 10.4806068864474]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Residential and Commercial|Heat,GWh,2023,2,"[640.40487766524, 760.755707563998]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Residential and Commercial|Solids|Biomass,GWh,2023,2,"[597.378028277062, 552.155815152676]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Transportation|Electricity,GWh,2023,2,"[292.715837576064, 293.645626833672]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Transportation|Gases|Biomass,GWh,2023,2,"[29.5107783570959, 35.007648559369]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Transportation|Geothermal,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Transportation|Liquids|Biomass,GWh,2023,3,"[311.806255054295, 9.14718059298404, 369.885323371319]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Transportation|Solar,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO06,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Agriculture|Electricity,GWh,2023,2,"[193.991680690204, 187.147741078494]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Agriculture|Gases|Biomass,GWh,2023,2,"[0.0, 0.0310084110283433]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Agriculture|Gases|Gas,GWh,2023,2,"[6.87990845139335, 5.13259676180509]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Agriculture|Geothermal,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Agriculture|Heat,GWh,2023,2,"[0.813213831677239, 0.58563612646712]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Agriculture|Liquids|Biomass,GWh,2023,2,"[0.0, 0.115752988895576]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Agriculture|Solar,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Agriculture|Solids|Biomass,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Agriculture|Solids|Coal,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Residential and Commercial|Electricity,GWh,2023,2,"[5839.23217277594, 5633.22667693693]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Residential and Commercial|Gases|Biomass,GWh,2023,2,"[0.0, 11.9244958819337]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Residential and Commercial|Gases|Gas,GWh,2023,2,"[14.1973093648973, 10.5915746680988]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Residential and Commercial|Heat,GWh,2023,2,"[756.491799944001, 860.337313790208]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Residential and Commercial|Solids|Biomass,GWh,2023,2,"[834.153552832305, 558.001994347952]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Transportation|Electricity,GWh,2023,2,"[304.307647943712, 296.754721960931]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Transportation|Gases|Biomass,GWh,2023,2,"[35.178439016036, 35.3783065893432]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Transportation|Geothermal,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Transportation|Liquids|Biomass,GWh,2023,3,"[371.689868546235, 9.2440301695177, 373.801637974532]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Transportation|Solar,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO07,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Agriculture|Electricity,GWh,2023,2,"[595.561811688603, 774.574503180916]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Agriculture|Gases|Biomass,GWh,2023,2,"[0.0, 0.128338843035432]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Agriculture|Gases|Gas,GWh,2023,2,"[14.8678866963302, 21.2429953142512]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Agriculture|Geothermal,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Agriculture|Heat,GWh,2023,2,"[1.64449284659634, 2.42385405823737]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Agriculture|Liquids|Biomass,GWh,2023,2,"[0.0, 0.479083067467494]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Agriculture|Solar,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Agriculture|Solids|Biomass,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Agriculture|Solids|Coal,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Residential and Commercial|Electricity,GWh,2023,2,"[17926.6640678392, 23315.0222890684]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Residential and Commercial|Gases|Biomass,GWh,2023,2,"[0.0, 49.3535771268416]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Residential and Commercial|Gases|Gas,GWh,2023,2,"[30.6812203274728, 43.8368298712475]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Residential and Commercial|Heat,GWh,2023,2,"[1529.78872844659, 1614.17252731877]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Residential and Commercial|Solids|Biomass,GWh,2023,2,"[1669.01816101365, 2309.4808147577]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Transportation|Electricity,GWh,2023,2,"[1196.61902159524, 1228.22022860041]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Transportation|Gases|Biomass,GWh,2023,2,"[162.575139718361, 146.425140329795]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Transportation|Geothermal,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Transportation|Liquids|Biomass,GWh,2023,3,"[1717.74342469426, 38.2595591839947, 1547.10506444689]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Transportation|Solar,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO08,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Agriculture|Electricity,GWh,2023,2,"[318.792539705171, 288.403580209379]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Agriculture|Gases|Biomass,GWh,2023,2,"[0.0, 0.0477854378879588]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Agriculture|Gases|Gas,GWh,2023,2,"[8.56827979098176, 7.90957600313646]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Agriculture|Geothermal,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Agriculture|Heat,GWh,2023,2,"[0.977130238855223, 0.902493156474859]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Agriculture|Liquids|Biomass,GWh,2023,2,"[0.0, 0.178380867570391]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Agriculture|Solar,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Agriculture|Solids|Biomass,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Agriculture|Solids|Coal,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Residential and Commercial|Electricity,GWh,2023,2,"[9595.79115797306, 8681.0705402967]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Residential and Commercial|Gases|Biomass,GWh,2023,2,"[0.0, 18.3762159496183]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Residential and Commercial|Gases|Gas,GWh,2023,2,"[17.6814153526896, 16.3221208908606]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Residential and Commercial|Heat,GWh,2023,2,"[908.974963751823, 897.50402042635]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Residential and Commercial|Solids|Biomass,GWh,2023,2,"[884.799665412594, 859.907643055253]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Transportation|Electricity,GWh,2023,2,"[466.770752019167, 457.313156783841]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Transportation|Gases|Biomass,GWh,2023,2,"[48.415490044988, 54.5196550239534]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Transportation|Geothermal,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Transportation|Liquids|Biomass,GWh,2023,3,"[511.550473351588, 14.245490654008, 576.046123018758]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Transportation|Solar,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO09,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Agriculture|Electricity,GWh,2023,2,"[531.386453506232, 544.53422263938]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Agriculture|Gases|Biomass,GWh,2023,2,"[0.0, 0.0902235896479202]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Agriculture|Gases|Gas,GWh,2023,2,"[13.6517897790089, 14.9340546228591]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Agriculture|Geothermal,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Agriculture|Heat,GWh,2023,2,"[1.53320045165251, 1.70399552266867]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Agriculture|Liquids|Biomass,GWh,2023,2,"[0.0, 0.336800559083429]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Agriculture|Solar,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Agriculture|Solids|Biomass,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Agriculture|Solids|Coal,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Residential and Commercial|Electricity,GWh,2023,2,"[15994.9584665235, 16390.7119145546]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Residential and Commercial|Gases|Biomass,GWh,2023,2,"[0.0, 34.6960965599462]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Residential and Commercial|Gases|Gas,GWh,2023,2,"[28.1716950518258, 30.8177637901659]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Residential and Commercial|Heat,GWh,2023,2,"[1426.25902827229, 1274.59286758742]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Residential and Commercial|Solids|Biomass,GWh,2023,2,"[1534.93838809418, 1623.58990000335]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Transportation|Electricity,GWh,2023,2,"[839.535061776048, 863.452056147367]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Transportation|Gases|Biomass,GWh,2023,2,"[90.17068152741, 102.938451545859]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Transportation|Geothermal,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Transportation|Liquids|Biomass,GWh,2023,3,"[952.729276826909, 26.896882395722, 1087.63153208681]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Transportation|Solar,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO0A,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UK,Demand|Electricity|Energy Sector,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UK,Demand|Heat|Energy Sector,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UK,Demand|Natural gas|Energy Sector,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UK,Distribution losses|Electricity,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UK,Distribution losses|Heat,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UK,Distribution losses|Natural gas,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UK,Exports|Electricity,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UK,Exports|Heat,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UK,Exports|Natural,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UK,Imports|Electricity,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UK,Imports|Heat,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UK,Imports|Natural gas,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKC1,Final Energy|Agriculture|Electricity,GWh,2023,2,"[0.0, 62.0176411364915]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKC1,Final Energy|Agriculture|Gases|Gas,GWh,2023,2,"[0.0, 13.6649039792269]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKC1,Final Energy|Agriculture|Heat,GWh,2023,2,"[0.0, 0.630687875964321]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKC1,Final Energy|Agriculture|Liquids|Oil,GWh,2023,2,"[0.0, 177.223293145974]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKC1,Final Energy|Agriculture|Solids|Biomass,GWh,2023,2,"[0.0, 34.0571453020733]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKC1,Final Energy|Residential and Commercial|Electricity,GWh,2023,2,"[0.0, 3108.70048419361]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKC1,Final Energy|Residential and Commercial|Heat,GWh,2023,2,"[0.0, 112.640372160711]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKC1,Final Energy|Residential and Commercial|Liquids|Oil,GWh,2023,2,"[0.0, 1170.25186531639]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKC1,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[10.7687543131955, 478.492380029531]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKC1,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[369.242446829995, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKC2,Final Energy|Agriculture|Electricity,GWh,2023,2,"[0.0, 75.0751337086442]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKC2,Final Energy|Agriculture|Gases|Gas,GWh,2023,2,"[0.0, 16.541978613769]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKC2,Final Energy|Agriculture|Heat,GWh,2023,2,"[0.0, 0.76347593602011]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKC2,Final Energy|Agriculture|Liquids|Oil,GWh,2023,2,"[0.0, 214.536738021651]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKC2,Final Energy|Agriculture|Solids|Biomass,GWh,2023,2,"[0.0, 41.2277005450859]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKC2,Final Energy|Residential and Commercial|Electricity,GWh,2023,2,"[0.0, 3763.22124211907]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKC2,Final Energy|Residential and Commercial|Heat,GWh,2023,2,"[0.0, 166.641347235886]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKC2,Final Energy|Residential and Commercial|Liquids|Oil,GWh,2023,2,"[0.0, 1416.64232388424]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKC2,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[12.6382634765138, 579.236468059524]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKC2,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[433.344767094548, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD1,Final Energy|Agriculture|Electricity,GWh,2023,2,"[0.0, 25.7916422617665]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD1,Final Energy|Agriculture|Gases|Gas,GWh,2023,2,"[0.0, 5.6829042271689]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD1,Final Energy|Agriculture|Heat,GWh,2023,2,"[0.0, 0.262287887407795]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD1,Final Energy|Agriculture|Liquids|Oil,GWh,2023,2,"[0.0, 73.7028963615905]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD1,Final Energy|Agriculture|Solids|Biomass,GWh,2023,2,"[0.0, 14.1635459200209]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD1,Final Energy|Residential and Commercial|Electricity,GWh,2023,2,"[0.0, 1292.83360859922]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD1,Final Energy|Residential and Commercial|Heat,GWh,2023,2,"[0.0, 123.50561960085]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD1,Final Energy|Residential and Commercial|Liquids|Oil,GWh,2023,2,"[0.0, 486.679546549955]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD1,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[5.53222099349284, 198.993448711504]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD1,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[189.690539558367, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD3,Final Energy|Agriculture|Electricity,GWh,2023,2,"[0.0, 145.368665001568]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD3,Final Energy|Agriculture|Gases|Gas,GWh,2023,2,"[0.0, 32.0303838139049]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD3,Final Energy|Agriculture|Heat,GWh,2023,2,"[0.0, 1.47832540679561]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD3,Final Energy|Agriculture|Liquids|Oil,GWh,2023,2,"[0.0, 415.409439309567]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD3,Final Energy|Agriculture|Solids|Biomass,GWh,2023,2,"[0.0, 79.8295719669631]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD3,Final Energy|Residential and Commercial|Electricity,GWh,2023,2,"[0.0, 7286.75955737134]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD3,Final Energy|Residential and Commercial|Heat,GWh,2023,2,"[0.0, 166.915435999899]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD3,Final Energy|Residential and Commercial|Liquids|Oil,GWh,2023,2,"[0.0, 2743.05743106604]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD3,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[20.6218306688475, 1121.58084737905]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD3,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[707.087838836538, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD4,Final Energy|Agriculture|Electricity,GWh,2023,2,"[0.0, 77.156776463971]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD4,Final Energy|Agriculture|Gases|Gas,GWh,2023,2,"[0.0, 17.0006456615529]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD4,Final Energy|Agriculture|Heat,GWh,2023,2,"[0.0, 0.784645184379366]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD4,Final Energy|Agriculture|Liquids|Oil,GWh,2023,2,"[0.0, 220.485296810602]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD4,Final Energy|Agriculture|Solids|Biomass,GWh,2023,2,"[0.0, 42.3708399564857]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD4,Final Energy|Residential and Commercial|Electricity,GWh,2023,2,"[0.0, 3867.5658080009]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD4,Final Energy|Residential and Commercial|Heat,GWh,2023,2,"[0.0, 117.350983807109]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD4,Final Energy|Residential and Commercial|Liquids|Oil,GWh,2023,2,"[0.0, 1455.92221703565]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD4,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[12.3044225544927, 595.297223968885]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD4,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[421.897924190163, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD6,Final Energy|Agriculture|Electricity,GWh,2023,2,"[0.0, 48.0302918790739]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD6,Final Energy|Agriculture|Gases|Gas,GWh,2023,2,"[0.0, 10.5829456682705]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD6,Final Energy|Agriculture|Heat,GWh,2023,2,"[0.0, 0.48844364622787]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD6,Final Energy|Agriculture|Liquids|Oil,GWh,2023,2,"[0.0, 137.252664590031]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD6,Final Energy|Agriculture|Solids|Biomass,GWh,2023,2,"[0.0, 26.375956896305]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD6,Final Energy|Residential and Commercial|Electricity,GWh,2023,2,"[0.0, 2407.56966702143]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD6,Final Energy|Residential and Commercial|Heat,GWh,2023,2,"[0.0, 77.7990506497808]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD6,Final Energy|Residential and Commercial|Liquids|Oil,GWh,2023,2,"[0.0, 906.315326303251]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD6,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[7.70695614265902, 370.574053665648]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD6,Final Energy|Transportation|Solids|Biomass,GWh,2023,2,"[264.258544764071, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD7,Final Energy|Agriculture|Electricity,GWh,2023,2,"[0.0, 80.1165079118407]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD7,Final Energy|Agriculture|Gases|Gas,GWh,2023,2,"[0.0, 17.6527898788801]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD7,Final Energy|Agriculture|Heat,GWh,2023,2,"[0.0, 0.814744148256007]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD7,Final Energy|Agriculture|Liquids|Oil,GWh,2023,2,"[0.0, 228.943105659938]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD7,Final Energy|Agriculture|Solids|Biomass,GWh,2023,2,"[0.0, 43.9961840058244]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD7,Final Energy|Residential and Commercial|Electricity,GWh,2023,2,"[0.0, 4015.92550721658]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD7,Final Energy|Residential and Commercial|Heat,GWh,2023,2,"[0.0, 88.2417774864727]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD7,Final Energy|Residential and Commercial|Liquids|Oil,GWh,2023,2,"[0.0, 1511.77134615816]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,UKD7,Final Energy|Transportation|Liquids|Biomass,GWh,2023,2,"[12.78133815738, 618.132806212695]"
